iso3_country,location,sector,year,total_emission
ARG,Chubut,agriculture,2023,535405.5859138761
ARG,Chubut,waste,2023,1877.7480518983095
ARG,Chubut,fossil-fuel-operations,2023,1299.967360330548
ARG,Chubut,land-use-change,2023,1228.98117601
ARG,Chubut,manufacturing,2023,256.97559080796844
ARG,Chubut,other-energy-use,2023,148.28549967836173
ARG,Chubut,transportation,2023,83.3610591763156
ARG,Chubut,power,2023,36.140135865161966
ARG,Chubut,agriculture,2024,535405.585913876
ARG,Chubut,waste,2024,1897.0116989532776
ARG,Chubut,land-use-change,2024,1323.87420722
ARG,Chubut,fossil-fuel-operations,2024,1299.967360357356
ARG,Chubut,manufacturing,2024,256.97559080796833
ARG,Chubut,other-energy-use,2024,147.70921522727838
ARG,Chubut,transportation,2024,117.27458576383445
ARG,Chubut,power,2024,36.14013586516196
ARG,Ciudad de Buenos Aires,waste,2021,8388.896552130967
ARG,Ciudad de Buenos Aires,fossil-fuel-operations,2021,1868.9065291061402
ARG,Ciudad de Buenos Aires,manufacturing,2021,571.94084593038
ARG,Ciudad de Buenos Aires,other-energy-use,2021,414.9592513174977
ARG,Ciudad de Buenos Aires,agriculture,2021,169.15545107968998
ARG,Ciudad de Buenos Aires,transportation,2021,44.78416876372444
ARG,Ciudad de Buenos Aires,power,2021,27.40456144746962
ARG,Ciudad de Buenos Aires,waste,2022,8459.71079499752
ARG,Ciudad de Buenos Aires,fossil-fuel-operations,2022,1684.773144607512
ARG,Ciudad de Buenos Aires,manufacturing,2022,568.2251148399247
ARG,Ciudad de Buenos Aires,other-energy-use,2022,415.65868543538187
ARG,Ciudad de Buenos Aires,agriculture,2022,169.15545107968998
ARG,Ciudad de Buenos Aires,transportation,2022,51.851454670086305
ARG,Ciudad de Buenos Aires,power,2022,27.98375038300986
ARG,Ciudad de Buenos Aires,waste,2023,8538.564524634145
ARG,Ciudad de Buenos Aires,fossil-fuel-operations,2023,1006.5806684644365
ARG,Ciudad de Buenos Aires,manufacturing,2023,568.2251148399247
ARG,Ciudad de Buenos Aires,other-energy-use,2023,414.1432442449279
ARG,Ciudad de Buenos Aires,agriculture,2023,169.1554510796899
ARG,Ciudad de Buenos Aires,transportation,2023,54.00910405506584
ARG,Ciudad de Buenos Aires,power,2023,27.98375038300987
ARG,Ciudad de Buenos Aires,waste,2024,8626.161880523983
ARG,Ciudad de Buenos Aires,fossil-fuel-operations,2024,1006.5806684851918
ARG,Ciudad de Buenos Aires,manufacturing,2024,568.2251148399247
ARG,Ciudad de Buenos Aires,other-energy-use,2024,413.6970201275396
ARG,Ciudad de Buenos Aires,agriculture,2024,169.15545107968998
ARG,Ciudad de Buenos Aires,transportation,2024,63.94971852414136
ARG,Ciudad de Buenos Aires,power,2024,27.98375038300986
ARG,Corrientes,agriculture,2021,129474.05762201609
ARG,Corrientes,waste,2021,20205.67832742268
ARG,Corrientes,fossil-fuel-operations,2021,1698.5605417375918
ARG,Corrientes,other-energy-use,2021,228.8525656916903
ARG,Corrientes,manufacturing,2021,181.85433563145892
ARG,Corrientes,transportation,2021,50.268868260922396
ARG,Corrientes,power,2021,24.90670668294908
ARG,Corrientes,agriculture,2022,130062.97814236522
ARG,Corrientes,waste,2022,20231.57009307252
ARG,Corrientes,fossil-fuel-operations,2022,1531.210438104768
ARG,Corrientes,other-energy-use,2022,229.3023528543023
ARG,Corrientes,manufacturing,2022,180.8428989629339
ARG,Corrientes,transportation,2022,52.258065883936375
ARG,Corrientes,power,2022,25.4331040478243
ARG,Corrientes,agriculture,2023,128962.40145330616
ARG,Corrientes,waste,2023,20532.531037397137
ARG,Corrientes,fossil-fuel-operations,2023,914.8334488120545
ARG,Corrientes,other-energy-use,2023,228.99043732190137
ARG,Corrientes,manufacturing,2023,180.84289896293387
ARG,Corrientes,transportation,2023,54.74126431189978
ARG,Corrientes,power,2023,25.4331040478243
ARG,Corrientes,agriculture,2024,128962.40145330613
ARG,Corrientes,waste,2024,20841.14896184306
ARG,Corrientes,fossil-fuel-operations,2024,914.8334488309183
ARG,Corrientes,other-energy-use,2024,228.58488537654532
ARG,Corrientes,manufacturing,2024,180.8428989629339
ARG,Corrientes,transportation,2024,84.18341970636594
ARG,Corrientes,power,2024,25.4331040478243
ARG,Córdoba,agriculture,2021,166258.28140915444
ARG,Córdoba,waste,2021,116424.35150938478
ARG,Córdoba,fossil-fuel-operations,2021,8542.46219729302
ARG,Córdoba,land-use-change,2021,1514.597270864
ARG,Córdoba,manufacturing,2021,914.5884114065165
ARG,Córdoba,other-energy-use,2021,688.369765435909
ARG,Córdoba,transportation,2021,301.43864335264686
ARG,Córdoba,power,2021,125.2617113550184
ARG,Córdoba,agriculture,2022,168156.57631447745
ARG,Córdoba,waste,2022,117140.84765097231
ARG,Córdoba,fossil-fuel-operations,2022,7700.818994788129
ARG,Córdoba,land-use-change,2022,1421.298715229
ARG,Córdoba,manufacturing,2022,909.5016574795753
ARG,Córdoba,other-energy-use,2022,691.1522444962044
ARG,Córdoba,transportation,2022,297.676527291619
ARG,Córdoba,power,2022,127.9090880482282
ARG,Córdoba,agriculture,2023,167200.70347995072
ARG,Córdoba,waste,2023,118920.89450256838
ARG,Córdoba,fossil-fuel-operations,2023,4600.913515453309
ARG,Córdoba,land-use-change,2023,1244.098326402
ARG,Córdoba,manufacturing,2023,909.5016574795752
ARG,Córdoba,other-energy-use,2023,687.0912376267239
ARG,Córdoba,transportation,2023,300.82865853417024
ARG,Córdoba,power,2023,127.9090880482282
ARG,Córdoba,agriculture,2024,167200.70347995072
ARG,Córdoba,waste,2024,120739.20335431509
ARG,Córdoba,fossil-fuel-operations,2024,4600.91351554818
ARG,Córdoba,manufacturing,2024,909.5016574795751
ARG,Córdoba,land-use-change,2024,819.796314777
ARG,Córdoba,other-energy-use,2024,685.051621094305
ARG,Córdoba,transportation,2024,446.04328020076554
ARG,Córdoba,power,2024,127.9090880482282
ARG,Entre Ríos,agriculture,2021,88453.35590826704
ARG,Entre Ríos,waste,2021,14234.424154788714
ARG,Entre Ríos,land-use-change,2021,6815.0764512000005
ARG,Entre Ríos,fossil-fuel-operations,2021,3663.4717933463758
ARG,Entre Ríos,manufacturing,2021,392.2251887483906
ARG,Entre Ríos,other-energy-use,2021,289.79975704113446
